"","Unnamed: 0","LEI_input","attributes.entity.legalName.name","attributes.entity.registeredAs","registeredAs_raw","registeredAs_type","resolved_CIK","resolution_confidence","resolved_company_name","resolved_series_name","resolved_class_name","resolved_CIK_padded10","edgar_name","edgar_entityType","edgar_category","edgar_error","iapd_error","source_type","FilingID","Fund ID","Fund Name","ReferenceID","Fund Type","Fund Type Other","Country","State","FILE_NUM_RAW","FILE_NUM_CLEAN","ACCESSIONNUMBER","FILING_DATE","SUBMISSIONTYPE","ENTITYNAME","STATEORCOUNTRY","STATEORCOUNTRYDESCRIPTION","JURISDICTIONOFINC","ENTITYTYPE","INDUSTRYGROUPTYPE","INVESTMENTFUNDTYPE","ISPOOLEDINVESTMENTFUNDTYPE","source_quarter_dir","edgar_entity_url","LEI","lei_match_status"
"15","145","5493008Z4B7A5G1CNX79","WILLIS TOWERS WATSON GROUP TRUST GLOBAL EQUITY FOCUS FUND","0001735176","0001735176","SEC_CIK_PADDED","1735176","high",NA,NA,NA,"0001735176","Willis Towers Watson Group Trust Global Equity Focus Fund","other",NA,NA,"Code HTTP 403 - None","IA",2049872,"805-6837945052","WILLIS TOWERS WATSON GROUP TRUST - GLOBAL EQUITY FOCUS FUND",201416,"Other Private Fund","POOLED INVESTMENT INTERESTS","United States","New York","021-308700","021-308700","0001735176-25-000003","21-MAR-2025","D/A","Willis Towers Watson Group Trust Global Equity Focus Fund","IL","ILLINOIS","NEW YORK","Other","Pooled Investment Fund","Other Investment Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0001735176&owner=exclude",NA,"ready_for_lei_enrichment"
"16","184","549300FIV6X4GHGGW934","PARTNERS GROUP REAL ESTATE OPPORTUNITIES 2019 (USD) A OPCO, L.P.","0001804722","0001804722","SEC_CIK_PADDED","1804722","high",NA,NA,NA,"0001804722","Partners Group Real Estate Opportunities 2019 (USD) A OpCo, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2056899,"805-3814036516","PARTNERS GROUP REAL ESTATE OPPORTUNITIES 2019 (USD) A OPCO, L.P.",307353,"Real Estate Fund",NA,"United States","Delaware","021-361702","021-361702","0001804722-21-000001","30-JUL-2021","D/A","Partners Group Real Estate Opportunities 2019 (USD) A OpCo, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2021Q3_d","https://www.sec.gov/edgar/browse/?CIK=0001804722&owner=exclude",NA,"ready_for_lei_enrichment"
"17","184","549300FIV6X4GHGGW934","PARTNERS GROUP REAL ESTATE OPPORTUNITIES 2019 (USD) A OPCO, L.P.","0001804722","0001804722","SEC_CIK_PADDED","1804722","high",NA,NA,NA,"0001804722","Partners Group Real Estate Opportunities 2019 (USD) A OpCo, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2088255,"805-3814036516","PARTNERS GROUP REAL ESTATE OPPORTUNITIES 2019 (USD) A OPCO, L.P.",307353,"Real Estate Fund",NA,"United States","Delaware","021-361702","021-361702","0001804722-21-000001","30-JUL-2021","D/A","Partners Group Real Estate Opportunities 2019 (USD) A OpCo, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2021Q3_d","https://www.sec.gov/edgar/browse/?CIK=0001804722&owner=exclude",NA,"ready_for_lei_enrichment"
"18","238","549300MWUEL07O7EEG37","PIMCO RED STICK FUND, L.P.","0001769131","0001769131","SEC_CIK_PADDED","1769131","high",NA,NA,NA,"0001769131","PIMCO Red Stick Fund, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2068777,"805-8310566431","PIMCO RED STICK FUND, L.P.",214612,"Hedge Fund",NA,"United States","Delaware","021-333729","021-333729","0001769131-19-000001","2019-02-27 16:29:17","D","PIMCO Red Stick Fund, L.P.","CA","CALIFORNIA","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2019Q1_d","https://www.sec.gov/edgar/browse/?CIK=0001769131&owner=exclude",NA,"ready_for_lei_enrichment"
"19","308","549300UX4K985OI0S042","PARTNERS GROUP DIRECT EQUITY 2016 (USD) A, L.P.","0001652543","0001652543","SEC_CIK_PADDED","1652543","high",NA,NA,NA,"0001652543","Partners Group Direct Equity 2016 (USD) A, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2056899,"805-7951707531","PARTNERS GROUP DIRECT EQUITY 2016 (USD) A, L.P.",186526,"Private Equity Fund",NA,"United States","Delaware","021-247230","021-247230","0001652543-16-000004","2016-09-20 10:13:00","D/A","Partners Group Direct Equity 2016 (USD) A, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2016Q3_d","https://www.sec.gov/edgar/browse/?CIK=0001652543&owner=exclude",NA,"ready_for_lei_enrichment"
"20","308","549300UX4K985OI0S042","PARTNERS GROUP DIRECT EQUITY 2016 (USD) A, L.P.","0001652543","0001652543","SEC_CIK_PADDED","1652543","high",NA,NA,NA,"0001652543","Partners Group Direct Equity 2016 (USD) A, L.P.","other",NA,NA,"Code HTTP 403 - None","ERA",2088255,"805-7951707531","PARTNERS GROUP DIRECT EQUITY 2016 (USD) A, L.P.",186526,"Private Equity Fund",NA,"United States","Delaware","021-247230","021-247230","0001652543-16-000004","2016-09-20 10:13:00","D/A","Partners Group Direct Equity 2016 (USD) A, L.P.","NY","NEW YORK","DELAWARE","Limited Partnership","Pooled Investment Fund","Private Equity Fund","true","2016Q3_d","https://www.sec.gov/edgar/browse/?CIK=0001652543&owner=exclude",NA,"ready_for_lei_enrichment"
"21","311","549300V11UZMBI4OQN70","GMO Quality Spectrum Fund, L.P.","0001792327","0001792327","SEC_CIK_PADDED","1792327","high",NA,NA,NA,"0001792327","GMO Quality Spectrum Fund, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2057135,"805-9628022816","GMO QUALITY SPECTRUM FUND, L.P.",233681,"Hedge Fund",NA,"United States","Delaware","021-352951","021-352951","0001792327-25-000001","30-MAY-2025","D/A","GMO Quality Spectrum Fund, L.P.","MA","MASSACHUSETTS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0001792327&owner=exclude",NA,"ready_for_lei_enrichment"
"22","333","549300WV2DTN26XXCL60","GMO Equity Dislocation Fund, L.P.","0001834967","0001834967","SEC_CIK_PADDED","1834967","high",NA,NA,NA,"0001834967","GMO Equity Dislocation Fund, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2057135,"805-1772149108","GMO EQUITY DISLOCATION FUND, L.P.",251117,"Hedge Fund",NA,"United States","Delaware","021-382556","021-382556","0001834967-25-000001","30-MAY-2025","D/A","GMO Equity Dislocation Fund, L.P.","MA","MASSACHUSETTS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2025Q2_d","https://www.sec.gov/edgar/browse/?CIK=0001834967&owner=exclude",NA,"ready_for_lei_enrichment"
"23","339","549300XARXP5PO8I9C08","Partners Group Private Markets Longtail Insurance Dedicated Fund","0002055857","0002055857","SEC_CIK_PADDED","2055857","high",NA,NA,NA,"0002055857","Partners Group Private Markets Longtail Insurance Dedicated Fund, a series of Partners Group Insurance Dedicated Fund II, L.P.","other",NA,NA,"Code HTTP 403 - None","IA",2039964,"805-4141436398","PARTNERS GROUP PRIVATE MARKETS LONGTAIL INSURANCE DEDICATED FUND, A SERIES OF THE PARTNERS GROUP INSURANCE DEDICATED FUND II, LP",280035,"Private Equity Fund",NA,"United States","Delaware","021-539319","021-539319","0002055994-25-000002","26-FEB-2025","D","Partners Group Private Markets Longtail Insurance Dedicated Fund, a series of Partners Group Insurance Dedicated Fund II, L.P.","TX","TEXAS","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2025Q1_d","https://www.sec.gov/edgar/browse/?CIK=0002055857&owner=exclude",NA,"ready_for_lei_enrichment"
"24","342","549300XWHYUIO6JR8D60","PIMCO HORSESHOE FUND, LP","0001624109","0001624109","SEC_CIK_PADDED","1624109","high",NA,NA,NA,"0001624109","PIMCO Horseshoe Fund, LP","other",NA,NA,"Code HTTP 403 - None","IA",2068777,"805-1612657555","PIMCO HORSESHOE FUND, LP",67746,"Hedge Fund",NA,"United States","Delaware","021-227972","021-227972","0001622695-14-000008","2014-11-10 09:50:26","D","PIMCO Horseshoe Fund, LP","CA","CALIFORNIA","DELAWARE","Limited Partnership","Pooled Investment Fund","Hedge Fund","true","2014Q4_d","https://www.sec.gov/edgar/browse/?CIK=0001624109&owner=exclude",NA,"ready_for_lei_enrichment"
